demoid,title,author1first,author1last,author1institution,author2first,author2last,author2institution,author3first,author3last,author3institution,author4first,author4last,author4institution,author5first,author5last,author5institution,author6first,author6last,author6institution,author7first,author7last,author7institution,author8first,author8last,author8email,author8institution,author9first,author9last,author9institution,author10first,author10last,author10institution,author11first,author11last,author11institution,author12first,author12last,author12institution,abstract,url,hall,booth,urlvimeo
"PO1069","Demonstrating WAVY: a hand wearable with force and vibrotactile feedback for multimodal interaction in Virtual Reality","Marion","Pontreau","Université Paris-Saclay, CEA, List","Céphise","Louison","CEA, List","Pierre-Henri","Oréfice","CEA, List","Sylvain","Bouchigny","CEA, List","Thanh-loan Sarah","LE","Institut des Systèmes Intelligents et de Robotique","David","Gueorguiev","Institute of Neuroscience","Sabrina","Panëels","CEA, List",,,,,,,,,,,,,,,,,"While the public has access to audio and visual stimuli in virtual reality (VR) thanks to affordable and light headsets, the haptic sense (i.e. the sense of touch) is often lacking or restricted to controllers? vibrations. Besides, commercial haptic wearables remain too expensive for the mass market. Thus, we designed an affordable and light hand wearable that combines tracking, multi-point vibrations and force feedback for the palm and the fingers. The wearable is demonstrated in a VR scenario.","mhNQnxDkD5Q","CEZEMBRE","15"
"PO1056","LLM-powered Gaussian Splatting in VR interactions","Haotian","Mao","Shanghai Jiao Tong University","Zhuoxiong","Xu","Shanghai Jiao Tong University","Siyue","Wei","Shanghai Jiao Tong University","Yule","Quan","Shanghai Jiao Tong University","Nianchen","Deng","Shanghai AI Lab","Xubo","Yang","SHANGHAI JIAO TONG UNIVERSITY",,,,,,,,,,,,,,,,,,,,"Recent advances in radiance field rendering, particularly 3D Gaussian Splatting (3DGS), have demonstrated significant potential for VR content creation, offering both high-quality rendering and an efficient production pipeline. However, current physics-based interaction systems for 3DGS are limited to either simplistic, unrealistic simulations or require substantial user input for complex scenes, largely due to the lack of scene comprehension. In this demonstration, we present a highly realistic interactive VR system powered by large language models (LLMs). After object-aware GS reconstruction, we prompt GPT-4o to analyze the physical properties of objects in the scene, which then guide physical simulations that adhere to real-world phenomena. Additionally, We design a GPT-assisted GS inpainting module to complete the areas occluded by manipulated objects. To facilitate rich interaction, we introduce a computationally efficient physical simulation framework through a PBD-based unified interpolation method, which supports various forms of physical interactions. In our research demonstrations, we reconstruct varieties of scenes enhanced by LLM's understanding, showcasing how our VR system can support complex, realistic interactions without additional manual design or annotation.","nFCFhJd6p60","CEZEMBRE","14"
"PO1100","GRIPPY: A VR Grip Controller for Combating Sarcopenia in Elderly","Hoi Lam","Leong","University of Nottingham Ningbo China","Jiang","WU","University of Nottingham, Ningbo, China ","Dr. Yoke Chin","Lai","University of Nottingham Ningbo China","Loic","Faulon","University of Nottingham Ningbo China","Xu","Sun","University of Nottingham Ningbo China","Boon Giin","Lee","University of Nottingham Ningbo China",,,,,,,,,,,,,,,,,,,,"As the global population ages, sarcopenia?age-related muscle decline?demands innovative solutions. This paper introduces GRIPPY, a VR grip controller that transforms basic handgrip exercises into immersive, gamified tasks. By integrating sensor-based interaction and VR gameplay, older adults can strengthen grip while maintaining higher motivation. A preliminary test with three participants (ages 68?80) revealed key usability insights, underscoring GRIPPY?s potential for enhanced rehabilitation. Future work will refine its design and validate long-term efficacy.","bgRUFUP1zbM","CEZEMBRE","16"
"PO1042","Xareus: a Framework to Create Interactive Applications without Coding","Lysa","Gramoli","Univ. Rennes, INSA Rennes, Inria, CNRS, IRISA","Florian","Nouviale","Univ. Rennes, INSA Rennes, Inria, CNRS, IRISA","Adrien","Reuzeau","Univ. Rennes, Inria, CNRS, IRISA","Alexandre","Audinot","Univ. Rennes, INSA Rennes, Inria, CNRS, IRISA","Mathieu","Risy","Univ. Rennes, INSA Rennes, Inria, CNRS, IRISA","Tangui","Marchand-Guerniou","Univ. Rennes, INSA Rennes, Inria, CNRS, IRISA","Mae","Mavromatis","Univ. Rennes, INSA Rennes, Inria, CNRS, IRISA","Bruno","Arnaldi","bruno.arnaldi@irisa.fr","Univ. Rennes, INSA Rennes, Inria, CNRS, IRISA","Valérie","Gouranton","Univ. Rennes, INSA Rennes, Inria, CNRS, IRISA",,,,,,,,,,"Creating interactive XR applications is a complex task. It implies people with different backgrounds which can lead to communication problems and a lot of coding, rarely formalized, that leads to a lack of reusability. Furthermore, the domain expert can not be directly involved in the creation process. Therefore, we propose Xareus, a framework designed to simplify and accelerate the creation of interactive applications with little coding. To help domain experts and developers, Xareus includes several features to make the virtual objects interactive, manage virtual humans, and create a scenario using a graphical interface or VR interaction. Our framework is compatible with Unity Engine and suitable for various fields such as training, video games, or industry. During the demo, the participants will have the opportunity to test these features. A video can be found here: iqdU3-202As","iqdU3-202As","SURCOUF","13"
"PO1079","Advancing Critical Care Skills: Immersive VR Training Powered by Real-World Patient Data","Luisa","Theelke","TUM University Hospital, Technical University Munich","Diana","Beksultanow","Technical University of Munich","Lydia","Marquardt","Technical University of Munich","Philipp","Gulde","Technical University of Munich","Lisa","Vallines","Siemens Healthineers","Daniel","Roth","Technical University of Munich",,,,,,,,,,,,,,,,,,,,"VR simulations are becoming essential for staff training in clinical care, specifically in environments that cannot be trained well during regular operations, such as critical care. This paper presents a novel system that aims at further closing the gap between simulation and reality by integrating real patient data into immersive training scenarios in the context of acute care. Focused on sepsis recognition, the VR simulation introduces trainees to clinical routines and to make informed decisions while observing the evolving patient conditions. By engaging with dynamic disease progression, it fosters understanding of critical conditions in a time-sensitive context. Preliminary feedback from a pilot assessment with nursing professionals highlighted its value for trainees and potential to enhance preparedness and decision-making skills in real-world scenarios.","Wei4QCzCGDY","CEZEMBRE","13"
"PO1110","Digital Time Machine: A Virtual Reality Reconstruction of the Southwestern Zeitgeist Through the Lens of Clark Hulings' Artistic Legacy","Jeffrey","Price","The University of Texas at Dallas","Hamida","Khatri","The University of Texas at Dallas","Brandon","Coffey","The University of Texas at Dallas","Chris","Gauthier","The University of Texas at Dallas","Jacqueline","Garza","The University of Texas at Dallas","Evan","Barreiro","Evan Barreiro Designs",,,,,,,,,,,,,,,,,,,,"This research demo showcases the ?Digital Time Machine,? a virtual reality (VR) experience designed to transport users to 1974 Chimayo, New Mexico, as captured through the artistry of Clark Hulings. By integrating photorealistic VR environments, artistic stylization, and user-centered design, the project demonstrates the potential of immersive technology to deepen cultural appreciation, historical understanding, and artistic engagement. Developed in collaboration with the New Mexico Museum of Art Vladem Contemporary, this project exemplifies how VR can bridge temporal and spatial divides, allowing museum audiences to step into the world of Hulings? iconic painting.",,"CEZEMBRE","12","https://player.vimeo.com/video/1046656410"
"PO1105","Virtual Exhibition as a Portal to Authentic Art Experiences: Exploring the Immersive Reproduction of Exhibition in Practice","Yuanyuan","Yin","University of Southampton","Lian","Pan","University of Southampton","Xiao","Wei","University of Southampton","Ruohan","Tang","University of Southampton","Christopher","O'Connor","University of Southampton",,,,,,,,,,,,,,,,,,,,,,,"Exhibitions are traditionally constrained by fixed times and locations, limiting access for a wider audience. Immersive reproduction, leveraging 3D reconstruction and virtual reality technologies, offers a way to transcend these temporal and spatial limitations. While previous research has largely focused on integrating mixed-reality elements within physical museum spaces, treating VR as a supplementary tool, our research positions VR as the primary ?portal? to authentic artistic experiences. This demo showcases the complete process of immersive reproduction for Following the Fish, an exhibition featured at the 18th Venice International Architecture Biennale in 2023, offering valuable insights and references for future digital archiving and immersive reproduction of exhibitions. The reproduced immersive exhibition was constructed at a 1:1 original scale of the physical exhibition. When the available space permits (i.e., when the space is equal to or larger than the original venue), visitors can walk through the virtual environment, recreating an authentic artistic experience.","ku_HTQo0ruI","SURCOUF","17"
"PO1060","Demonstration of VirtuEleDent: A Compact XR Tooth-Cutting Training System Using a Physical EMR-based Dental Handpiece and Teeth Model","Yuhui","Wang","Tohoku University","Kazuki","Takashima","Shibaura Institute of Technology","Masamitsu","Ito","Wacom Co.,Ltd.","Takeshi","Kobori","Wacom Co., Ltd. EMR Technology","Tomo","Asakura","Wacom Co., Ltd.","Kazuyuki","Fujita","Tohoku University","Hong","Guang","Tohoku University","Yoshifumi","Kitamura","kitamura@riec.tohoku.ac.jp","Tohoku University",,,,,,,,,,,,,"Dental cutting is a crucial skill for dental students. However, current VR dental cutting training systems rely on bulky and costly haptic devices, which reduce opportunities for individual practice. Moreover, the limitations imposed by the maximum reaction force of an active haptic device would impact the range of tooth hardness that can be reproduced. We propose a compact XR tooth-cutting training system, VirtuEleDent, that employs a passive haptic approach using a 3D-printed physical teeth model and a three-dimensionally tracked handpiece. Their spatial relationship is accurately rendered in the virtual environment of a mobile head-mounted display (HMD), providing users with realistic haptic sensations during virtual tooth-cutting exercises. Our tracking platform is operated using electromagnetic resonance (EMR) stylus technology and consists of a digitizer (i.e., tracking board) and a handpiece device. A customized EMR stylus unit (i.e., resonance coil) and an inertial measurement unit (IMU) sensor are installed inside the handpiece, allowing for precise measurement of its tip's 3D position and orientation. This setup enables the learner to physically manipulate dexterous handpieces on the teeth model while experiencing virtual tooth-cutting in the HMD.

This is a companion demo to the IEEE VR 2025 Conference
paper: ``VirtuEleDent: A Compact XR Tooth-Cutting Training System Using a Physical EMR-based Dental Handpiece and Teeth Model.'' To watch a video about VirtuEleDent, please visit \url{ZvHZ6IEAhyM}.","ZvHZ6IEAhyM","SURCOUF","10"
"PO1107","Flexible Virtual Lenses to Magnify Virtual Environments Locally Without Losing Context Information","Julien","Ducrocq","Nara Institute of Science and Technology","Yutaro","Hirao","Nara Institute of Science and Technology","Monica","Perusquia-Hernandez","Nara Institute of Science and Technology","Hideaki","Uchiyama","Nara Institute of Science and Technology","Kiyoshi","Kiyokawa","Nara Institute of Science and Technology",,,,,,,,,,,,,,,,,,,,,,,"We introduce virtual lenses that magnify image regions locally without losing context elements.
We developed a unified formalism to design virtual lenses of any closed shape, that can be moved interactively on a screen and within a virtual reality (VR) application in real-time.
Moreover, our lenses are versatile: the user can change their parameters to modify the appearance of the magnified image region dynamically.
These lenses are suitable for several applications, including virtual tourism and video-surveillance.
Our demo showcases an implementation of a lens changing of shape in real-time on a non-VR monitor, followed by a proof-of-concept VR version where the user can move a lens with a VR controller to deform remote textures at different distances.","mMMdJj67vb4","SURCOUF","16"
"PO1141","ARES: Augmented Reality and AI Assistance Technologies for Safety and Efficiency Optimization in Explosive Ordnance Exploration ","Paul","Chojecki","Fraunhofer Heinrich Hertz Institute HHI","David","Przewozny","Fraunhofer Heinrich Hertz Institute HHI","Mustafa","Lafci","Fraunhofer Institute for Telecommunications","Mykyta","Kovalenko","Fraunhofer Heinrich Hertz Institute HHI","Pia","Packmohr","UseTree GmbH","Hoa","van Thanh","UseTree GmbH","Laura","Dreßler","UseTree GmbH","Wolfgang","Süß","wsuess@sensys.de","SENSYS GmbH","Stefan","Huber","UseTree GmbH","Sebastian","Bosse","Fraunhofer HHI",,,,,,,"Unexploded ordnance (UXO) detection remains a critical challenge in past and present conflict zones. Magnetometer surveys are a key method for identifying UXO, but require precise, systematic scanning and expert interpretation. The ARES project leverages Augmented Reality (AR) and Artificial Intelligence (AI) to enhance UXO exploration by improving quality, efficiency, and safety. Using AR glasses, the system guides users through survey areas, assisting with lane alignment, walking speed, and maintaining magnetometer stability. AI-driven processing transforms sparse magnetometer data into dense magnetic maps, while suspected UXO points are directly visualized in the AR display. These features streamline on-site navigation and analysis, offering an intuitive decision-support system for field experts while maintaining reliance on human expertise.","XwrrVjPg-a4","SURCOUF","1"
